Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C19, C20, C9",cap_10uf,6,10u,C15525
"C10, C11, C12, C13, C2, C21, C22, C3, C4, C5",cap_100nf,10,100n,C307331
"C14, C6",cap_10nf,2,10n,C15195
"C15, C16, C7, C8",cap_1uf,4,1u,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D6, D7, D8, D9",diode_sod123,58,D_Small,C81598
"D59, D60",schottky,2,D_Schottky,C22452
"D61, D62",led,2,RED,C2286
"F1, F2, F3, F4",fuse_500ma,4,500mA Polyfuse,C210357
"FB1, FB2",ferrite,2,120R,C87063
"J1, J2, J3, J4",usb-c,4,USB2.0_16P,C165948
"R1, R2, R3, R4",res_5k1,4,5k1,C25905
"R10, R13, R14, R15, R16, R7, R8, R9",res_9k1,8,9k1,C23260
"R11, R12, R5, R6",res_120,4,120,C25079
"R17, R19",res_33k,2,33k,C25779
"R18, R20, R23, R24",res_10k,4,10k,C25744
"R21, R22",res_1k,2,1k,C11702
"SW1, SW2",switch,2,SW_Push,C720477
"U1, U2",stm32,2,STM32F072CBT6,C81720
"U10, U9",xc6206,2,XC6206PxxxMR,C5446
"U3, U4, U5, U6",usblc6-2sc6,4,USBLC6-2SC6,C2827654
"U7, U8",tps2116drlr,2,TPS2116DRL,C3235557
